Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
7/27/21,30,Georgia,11552615,599200,4921660,6031755,0,108808,128532,142387,761567,8749747,8747834,8371446,2405243,232249,3677892,4837541,2065,122584,71050,38817,12717,70267,39287,22029,8951,82409,97327,103179,158557,8765373,4787474,45.1,4785718,53.2,4553143,56.1,1243717,82,4039150,38,4038837,44.9,3891458,48,1090455,71.9,229019,1659437,2149804,890,228928,1659393,2149626,890,228711,1658912,2002994,841,28158,604379,457524,394,51808,31317,16514,3977
7/27/21,30,Hawaii,1983960,81700,793940,1108320,0,140123,163813,177774,739048,1711825,1707242,1615483,487016,38913,596467,982680,93765,24572,10951,12351,1270,13389,5738,6767,884,120903,140965,144756,181419,1724240,1006161,71.1,1002350,82.8,943687,84.6,270985,99.9,754967,53.3,753461,62.2,719227,64.4,226765,84.5,39427,260803,436650,18087,39392,260755,435238,18076,39275,260219,401663,18070,8569,95036,121749,1411,9633,4496,4751,386
7/27/21,30,Idaho,1737050,100100,727860,909090,0,97201,116159,129741,597602,1365184,1365159,1364542,460184,54685,581894,727336,1269,26856,8479,4892,13485,15687,4736,2894,8057,76393,91290,101918,158318,1369888,729643,40.8,729610,48.8,728361,54.4,237177,81.6,664880,37.2,664861,44.5,664114,49.6,224428,77.2,54452,269830,340224,374,54443,269827,340217,374,54432,269813,339496,373,9644,104266,110364,154,11048,3652,1951,5445
7/27/21,30,Illinois,15161095,850700,5962100,8348295,0,119644,139891,153858,742015,13521219,13480938,12652755,3359580,481825,5244876,7780670,13848,426646,165353,114520,146773,277123,94820,67012,115291,106703,124388,128403,164425,13661451,7826691,61.8,7801085,72,7299619,74.1,1863061,91.2,6107622,48.2,6093333,56.2,5759789,58.5,1536436,75.2,480163,2265162,3357680,4617,480137,2265119,3343460,4617,477795,2258797,3018627,4570,68778,704496,760863,2299,148410,69878,46994,31538
7/27/21,30,Indiana,6962340,427500,2784660,3750180,0,103418,122038,134818,641251,6030412,6030058,5743756,1826915,225278,2339687,3445289,20158,142782,91415,37173,14194,80962,50071,21439,9452,89575,105697,111222,168264,5996550,3153771,46.8,3153460,55.3,2998618,58.1,908828,83.7,2961774,44,2961661,51.9,2835806,54.9,884689,81.5,220813,1109283,1625147,6531,220797,1109270,1625063,6531,220661,1109053,1499597,6495,26057,438436,416942,3254,61716,41107,15646,4963
7/27/21,30,Iowa,3561905,188700,1479500,1893705,0,112895,133092,146687,644159,3125265,3125229,2971641,964603,131994,1309191,1683951,129,138459,61966,45788,30705,87452,35530,28545,23377,99055,116775,122379,174445,3121174,1669780,52.9,1669711,62.4,1586205,65.3,493386,89.2,1559883,49.4,1559860,58.3,1491116,61.4,477302,86.3,129429,634850,795500,104,129427,634843,795486,104,129368,634705,726939,104,12074,252884,212280,64,50462,26030,16930,7502
7/27/21,30,Kansas,3189165,173500,1394660,1621005,0,109469,130080,144106,670715,2679340,2679216,2545125,798346,92273,1124089,1462191,787,89973,45939,28038,15996,50699,24658,16811,9230,91969,109280,115005,167901,2776821,1536689,52.7,1536568,62.7,1454728,65.7,444148,93.4,1309691,45,1309668,53.4,1251455,56.5,384628,80.9,91238,527890,690264,299,91231,527883,690255,299,91161,527666,632344,284,15456,185623,183399,150,38962,20959,11128,6875
7/27/21,30,Kentuky,4626975,266500,2041580,2318895,0,103566,121565,133542,616466,4159121,4158039,3974558,1204410,172428,1804938,2181169,586,95416,43983,28001,23432,54693,24067,15987,14639,93094,109245,114712,160467,4181360,2302639,51.5,2302281,60.5,2195750,63.4,653994,87.1,2022775,45.3,2022715,53.1,1945012,56.1,596895,79.5,170100,837912,1013971,792,170076,837901,1013947,791,170002,837744,936488,778,34973,272757,288720,445,40664,19713,11913,9038
7/27/21,30,Louisiana,4233870,238100,1884580,2111190,0,91075,107916,118890,571356,3579572,3579354,3467595,1176561,134042,1599787,1844492,1251,118245,42808,24118,51319,74689,23445,14142,37102,77000,91233,97373,158775,3509145,1918646,41.3,1918457,48.9,1850941,52,599598,80.9,1703117,36.6,1703054,43.4,1659842,46.6,569546,76.9,127469,735428,839626,594,127449,735412,839599,594,127355,735112,796785,590,19493,270961,278961,131,42830,18912,9700,14218
7/27/21,30,Maine,1901020,103100,817820,980100,0,141423,160432,173550,666405,1658796,1658695,1568925,510921,108366,695109,854769,552,38116,17081,15314,5721,22638,9578,9656,3404,123403,139982,143232,179104,1669761,914946,68.1,914850,77.2,867434,79.2,272806,95.6,850647,63.3,850619,71.8,809270,73.9,260070,91.2,106617,334046,409843,141,106600,334042,409836,141,106563,333994,368584,129,21883,119114,119019,54,15459,7498,5641,2320
