Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
7/27/21,30,New Jersey,11993505,606300,4902840,6484365,0,135029,157429,172727,812824,10280170,10279473,9660137,2433235,390803,4114714,5774623,30,266535,130020,109927,26588,155951,74693,63484,17774,115739,134930,139123,164905,10589362,5811134,65.4,5810443,76.3,5466495,78.7,1338468,90.7,5133658,57.8,5133517,67.4,4852812,69.9,1224420,83,396254,1948514,2788813,77,396204,1948488,2788748,77,396030,1948052,2508662,68,80239,574180,569971,30,111804,55853,46465,9486
7/27/21,30,New Mexico,2426405,138500,1057980,1229925,0,115718,135748,149687,642576,2465779,2465529,2314934,661940,86604,1074878,1299976,4321,39668,11847,12137,15684,24024,6414,6648,10962,117596,137937,142810,175299,2490872,1361408,64.9,1361178,76.2,1273636,78.6,358109,94.8,1189697,56.7,1189631,66.6,1120246,69.1,323838,85.8,85103,489741,613560,1293,85092,489724,613522,1293,84977,489400,544586,1283,18144,150551,154434,709,15514,5246,5318,4950
7/27/21,30,New York,24823865,1253900,10165680,13404285,0,127606,147997,160930,753118,22775948,22774086,21629289,5465539,1003074,8982120,12784446,6308,435890,209522,153152,73216,260565,118588,88434,53543,117079,135776,140220,165816,22708419,12168754,62.6,12167394,72.5,11540977,74.8,2871895,87.1,11033818,56.7,11033259,65.8,10513156,68.2,2654895,80.5,949886,4184444,5897974,1514,949778,4184293,5897688,1500,949330,4183039,5379327,1460,162172,1272158,1219853,712,173405,89201,63438,20766
7/27/21,30,North Dakota,730510,36500,319040,374970,0,95860,114635,125541,609546,658753,657719,633242,194622,29836,278814,350103,0,6637,3034,2232,1371,3577,1595,1170,812,86443,103213,108825,162395,627548,343562,45.1,342954,53.8,329992,56.7,100424,83.8,304231,39.9,303885,47.7,294024,50.5,89586,74.8,26815,124983,152432,1,26812,124978,152094,1,26689,124794,142540,1,3574,44330,41682,0,3022,1414,1056,552
7/27/21,30,Noth Carolina,12033060,646500,4991820,6394740,0,114731,133916,146971,687174,9640814,9626940,9148641,2828182,361199,3800706,5478468,441,227962,112412,73154,42396,136534,63608,42838,30088,91922,107138,111741,161509,9547547,5315537,50.7,5306853,59.1,5035214,61.5,1473736,84.2,4563251,43.5,4558073,50.7,4355916,53.2,1348306,77,354674,1719313,2489213,51,354653,1719220,2484149,51,353417,1716666,2285783,50,41679,650869,655725,33,90569,47815,29595,13159
7/27/21,30,Ohio,12754585,655500,5383540,6715545,0,109115,127537,139990,623294,11015115,11014845,10504852,3384204,448916,4469067,6082266,14866,369269,170645,118757,79867,217835,94957,68965,53913,94234,110141,115298,165380,10888054,5790073,49.5,5789796,57.9,5517647,60.6,1730155,84.5,5404967,46.2,5404896,54,5172300,56.8,1655152,80.9,432778,2095363,2872260,4566,432760,2095353,2872217,4566,432601,2095001,2640205,4493,80189,755978,816683,2302,148752,73741,48594,26417
7/27/21,30,Oklahoma,4123550,222300,1813820,2087430,0,104210,124008,137235,649243,3422699,3422498,3279647,1017273,102350,1500959,1819289,101,64922,31156,16082,17684,39127,17977,10841,10309,86498,102925,109149,160167,3368153,1869510,47.2,1869335,56.2,1785887,59.4,542279,85.4,1582479,40,1582428,47.6,1524717,50.7,481244,75.8,100818,671110,810502,49,100809,671095,810475,49,100760,670908,753003,46,17215,246721,217292,16,25510,12995,5095,7420
7/27/21,30,Oregon,5755375,310200,2380420,3064755,0,136456,157778,171742,751276,4718870,4704897,4438327,1257311,182969,1842964,2689993,2944,122545,60024,45661,16860,73345,34736,27162,11447,111882,128980,132441,164123,4741157,2544949,60.3,2536908,69.5,2393598,71.4,669011,87.3,2350859,55.7,2345140,64.3,2221378,66.3,636866,83.1,180522,877914,1291797,626,180520,877910,1286085,625,179757,875179,1165840,602,45358,290140,301066,302,49284,25355,18375,5554
7/27/21,30,Pennsylvania,16160625,1060700,6922840,8177085,0,126235,145834,158946,675227,14448982,14444707,13737829,4417620,565091,5944305,7939050,536,433655,220783,193617,19255,240534,120011,106985,13538,112865,130349,135117,184578,14478510,8324369,65,8321311,75.1,7907600,77.8,2465111,99.9,6645348,51.9,6644090,60,6355406,62.5,1997265,83.5,567898,2601426,3475610,414,567854,2601297,3474525,414,567567,2599676,3187774,389,78150,945835,973096,184,192384,99960,85972,6452
7/27/21,30,Rhode Island,1553895,61600,636980,855315,0,146682,167537,181771,830756,1321618,1321515,1245470,347258,48110,517738,755438,332,51819,26613,16467,8739,30262,14413,9268,6581,124756,142483,145692,185654,1309443,706269,66.7,706144,76.1,665495,77.8,180038,96.3,647300,61.1,647264,69.8,612979,71.7,170569,91.2,48103,245131,354001,65,48102,245127,353970,65,48085,245076,319754,64,5896,78052,86602,19,21353,12095,7099,2159
7/27/21,30,South Carolina,5487525,313300,2402960,2771265,0,106580,124153,135913,585634,4372836,4365014,4204130,1507351,156084,1763073,2452593,1086,107203,55844,33511,17848,63225,31228,19339,12658,84931,98757,104126,160866,4351640,2381257,46.2,2376349,53.8,2283051,56.5,803095,85.7,2078799,40.4,2075953,47,2006974,49.7,721604,77,153152,791361,1134053,233,153108,791276,1131336,233,152590,789530,1064621,233,25628,308066,387752,158,44049,24114,13925,6010
7/27/21,30,South Dakota,986315,59400,441320,485595,0,111491,133629,147750,649443,845474,845447,806491,262978,27566,364555,453319,34,12560,7699,2105,2756,7349,4583,1390,1376,95571,114544,120812,173159,849535,462840,52.3,462811,62.7,439680,65.9,139825,92.1,413425,46.7,413414,56,397774,59.6,131193,86.4,27696,174441,211270,18,27695,174439,211262,18,27681,174395,195680,18,3910,67525,59747,11,5271,3115,736,1420
7/27/21,30,Tennessee,6613450,367800,2749060,3496590,0,96841,113330,124333,578406,5699976,5699297,5496617,1809840,178044,2292847,3211661,17424,108616,56580,30918,21118,66528,34058,19113,13357,83465,97665,103337,158287,5585463,3019926,44.2,3019351,51.7,2903253,54.6,920998,80.5,2654498,38.9,2654359,45.5,2571369,48.3,842734,73.7,171693,1030673,1447036,5096,171655,1030656,1446952,5096,171520,1030328,1364457,5064,29445,424045,386333,2911,42200,22583,11691,7926
7/27/21,30,Texas,32941555,1894600,13293000,17753955,0,113608,136681,152535,882151,27113209,27107894,25467458,6038246,1085420,10912431,15114599,759,471447,219629,157417,94401,270173,121986,89390,58797,93507,112476,117926,161700,26400731,14767162,50.9,14762732,61.3,13816157,64,3157220,84.5,12609049,43.5,12606528,52.3,11828458,54.8,2815601,75.4,1058164,4905140,6645042,703,1057952,4904159,6643713,703,992656,4601476,6233666,659,236288,1095318,1483838,157,198776,95836,66841,36099
7/27/21,30,US,395460845,21484400,163359420,210597675,19350,119116,139470,153125,723008,342607540,342257939,324010974,91961439,13257878,138031642,191021446,296574,7899824,3680037,2711404,1508383,4667902,2068457,1561339,1038106,103196,120706,125459,168130,342607540,188996475,56.9,188773621,66.6,178478720,69.1,48958631,89.5,163312474,49.2,163183082,57.6,155178182,60.1,43644066,79.8,13084812,63076602,87067620,83440,13082105,63072922,86944651,83403,12996034,62703693,79396085,82369,2089039,20797868,20720796,36363,3201807,1585855,1131172,484780
7/27/21,30,Utah,3334880,172400,1400100,1762380,0,104021,128648,146603,911488,2972212,2971605,2760301,621034,134321,1196245,1641646,0,55165,20521,18994,15650,33254,12400,11354,9500,92709,114634,121344,169741,2952454,1650438,51.5,1649980,63.7,1531258,67.3,333777,91.2,1423509,44.4,1423328,54.9,1333136,58.6,293336,80.2,131615,546611,745281,2,131583,546581,745162,2,131476,546322,655336,2,14531,128172,150633,0,21803,8044,7600,6159
7/27/21,30,Vermont,944740,52800,410800,481140,0,151403,171475,185249,755556,870658,870480,817947,255354,40560,364721,464702,675,21685,10157,7242,4286,12926,5802,4289,2835,139531,157996,160387,204219,852949,469916,75.3,469732,85.3,441394,86.6,127917,99.9,420346,67.4,420313,76.3,395838,77.6,118632,94.9,39162,164486,216465,233,39150,164476,216454,233,39119,164451,192048,220,2046,59108,57340,138,8605,4259,2900,1446
7/27/21,30,Virginia,10745415,545400,4198860,6001155,0,125891,147057,160988,790740,9615043,9584540,8974403,2296788,348579,3631930,5631815,2719,215562,109605,80422,25535,120044,58837,44545,16662,112647,131170,134455,169017,9631592,5227876,61.2,5209842,71.3,4880306,73.1,1223319,90,4626792,54.2,4615059,63.2,4340052,65,1115550,82.1,342545,1690439,2592941,867,342458,1690272,2581462,867,341071,1685252,2312883,846,63400,531139,520519,492,88488,45714,32869,9905
7/27/21,30,Washington,9663285,495000,3919500,5248785,0,126900,148645,162358,798801,8947816,8946975,8416588,2142018,374284,3530037,5037644,5851,164724,71519,53277,39928,99958,42060,32396,25502,117504,137626,141412,177067,8942175,4839708,63.6,4838934,74.4,4551708,76.5,1116392,92.3,4363088,57.3,4362878,67.1,4125130,69.3,1050369,86.8,370985,1661843,2328392,1868,370966,1661794,2328250,1868,370768,1661236,2091283,1843,54625,480015,514669,1060,64201,28937,20491,14773
7/27/21,30,Washington DC,1087675,54400,432660,600615,0,154116,178379,188316,1245290,896919,896839,871828,172514,28827,351317,516379,396,9077,4279,3942,856,5440,2369,2374,697,127088,147082,150945,197513,808767,448769,63.6,448674,73.6,432250,74.8,75784,86.8,384596,54.5,384555,63.1,373821,64.7,67891,77.7,32225,145466,206682,223,32223,145460,206649,223,32206,145415,195989,211,2294,38174,27397,26,3540,1850,1531,159
7/27/21,30,Wisconsin,6326365,318700,2683740,3323925,0,108655,126533,138863,621913,6130168,6129785,5822759,1851542,246711,2504768,3377982,707,182055,85814,59534,36707,115922,50720,36176,29026,105285,122601,127809,182016,6086787,3216987,55.3,3216525,64.3,3049923,66.9,925513,91,3002057,51.6,3001909,60,2865175,62.9,894290,87.9,238272,1172800,1590672,313,238255,1172786,1590555,313,238130,1172533,1454208,304,25519,434183,434456,132,65704,34669,23206,7829
7/27/21,30,Wyoming,1951775,110200,892060,949515,0,108907,125287,136242,531803,1484938,1484027,1419165,535420,37957,680353,766278,350,25905,4,2,25899,13452,4,1,13447,82858,95262,99064,145887,1484445,822974,45.9,822365,52.8,784742,54.8,285837,77.9,698205,39,697917,44.8,671008,46.8,257577,70.2,39058,309693,349224,230,39044,309608,349035,230,39003,309403,322390,212,6283,131721,119473,100,12528,4,1,12523
